Epoch,Accuracy
1,0.976
2,0.983
3,0.969
4,0.987
5,0.981
6,0.988
7,0.99
8,0.972
9,0.987
10,0.981
11,0.981
12,0.985
13,0.987
14,0.988
15,0.987
16,0.987
17,0.988
18,0.98
19,0.982
20,0.98
21,0.966
22,0.976
23,0.977
24,0.985
25,0.978
26,0.977
27,0.981
28,0.984
29,0.976
30,0.983
31,0.976
32,0.981
33,0.987
34,0.984
35,0.98
36,0.985
37,0.984
38,0.984
39,0.976
40,0.985
41,0.985
42,0.986
43,0.988
44,0.988
45,0.972
46,0.954
47,0.972
48,0.967
49,0.987
50,0.982
51,0.986
52,0.97
53,0.981
54,0.973
55,0.983
56,0.977
57,0.965
58,0.963
59,0.915
60,0.975
61,0.969
62,0.97
63,0.967
64,0.967
65,0.977
66,0.966
67,0.98
68,0.983
69,0.97
70,0.981
71,0.976
72,0.981
73,0.98
74,0.956
75,0.969
76,0.972
77,0.971
78,0.978
79,0.966
80,0.977
81,0.977
82,0.977
83,0.968
84,0.973
85,0.973
86,0.97
87,0.974
88,0.974
89,0.965
90,0.975
91,0.959
92,0.959
93,0.972
94,0.978
95,0.969
96,0.929
97,0.972
98,0.976
99,0.979
100,0.979
