Epoch,Accuracy
1,0.464
2,0.482
3,0.482
4,0.375
5,0.446
6,0.482
7,0.482
8,0.464
9,0.482
10,0.429
11,0.375
12,0.482
13,0.5
14,0.5
15,0.446
16,0.429
17,0.482
18,0.446
19,0.482
20,0.464
21,0.411
22,0.482
23,0.446
24,0.482
25,0.482
26,0.446
27,0.482
28,0.482
29,0.482
30,0.446
31,0.464
32,0.446
33,0.464
34,0.429
35,0.464
36,0.429
37,0.393
38,0.393
39,0.464
40,0.482
41,0.339
42,0.429
43,0.482
44,0.446
45,0.446
46,0.321
47,0.393
48,0.464
49,0.5
50,0.464
51,0.411
52,0.464
53,0.446
54,0.393
55,0.411
56,0.482
57,0.429
58,0.464
59,0.482
60,0.429
61,0.482
62,0.411
63,0.411
64,0.375
65,0.5
66,0.482
67,0.411
68,0.411
69,0.5
70,0.482
71,0.464
72,0.482
73,0.482
74,0.429
75,0.446
76,0.446
77,0.446
78,0.411
79,0.375
80,0.446
81,0.429
82,0.464
83,0.429
84,0.5
85,0.446
86,0.482
87,0.411
88,0.375
89,0.393
90,0.482
91,0.482
92,0.375
93,0.464
94,0.482
95,0.464
96,0.5
97,0.464
98,0.482
99,0.482
100,0.482
